total_study_hours,avg_session_length,study_sessions_per_week,focus_ratio,late_night_study_ratio,days_until_deadline_avg,video_completion_rate,practice_problem_attempts,forum_participation,study_streak_days,final_grade,pass_fail
17.5,88.0,11.9,0.693,0.419,7.6,0.754,20.0,1,7.0,80.8,1
14.3,78.5,10.9,0.458,0.529,3.2,0.596,31.0,1,10.0,77.3,1
18.2,61.2,17.9,0.661,0.13,2.8,0.432,19.0,1,7.0,88.6,1
22.6,47.1,25.0,0.697,0.115,7.8,0.653,14.0,0,7.0,77.6,1
13.8,74.0,11.2,0.824,0.117,13.6,0.468,22.0,1,10.0,85.7,1
13.8,67.9,12.2,0.922,0.196,4.0,0.866,1.0,2,8.0,75.8,1
22.9,77.9,17.6,0.945,0.449,2.7,0.957,29.0,1,12.0,87.8,1
18.8,72.7,15.5,0.3,0.61,9.5,0.876,12.0,2,8.0,75.1,1
12.7,81.0,9.4,0.822,0.382,4.1,0.754,27.0,3,9.0,80.8,1
17.7,49.3,21.6,0.706,0.166,6.7,0.744,21.0,3,4.0,70.7,1
12.7,86.3,8.8,0.836,0.422,4.0,0.722,7.0,2,16.0,82.9,1
12.7,64.0,11.9,0.736,0.352,4.4,0.662,16.0,2,16.0,82.6,1
16.2,101.5,9.6,0.465,0.439,3.0,0.431,7.0,0,6.0,72.3,1
5.4,46.2,7.1,0.68,0.299,8.0,0.546,18.0,1,6.0,61.9,1
6.4,94.7,4.0,0.896,0.033,6.9,0.791,42.0,1,11.0,71.6,1
12.2,64.0,11.4,0.74,0.066,6.7,0.298,18.0,2,8.0,82.1,1
9.9,47.0,12.7,0.732,0.189,3.4,0.674,7.0,6,12.0,70.9,1
16.6,50.3,19.8,0.783,0.153,6.5,0.354,25.0,1,22.0,81.5,1
10.5,53.6,11.7,0.43,0.328,14.0,0.958,6.0,1,6.0,63.3,1
7.9,68.5,7.0,0.649,0.105,2.7,0.669,30.0,3,17.0,77.0,1
22.3,70.5,19.0,0.715,0.437,3.2,0.907,5.0,4,5.0,97.2,1
13.9,48.5,17.2,0.62,0.271,3.3,0.838,27.0,1,7.0,75.8,1
15.3,59.5,15.5,0.645,0.201,5.8,0.694,9.0,2,12.0,72.9,1
7.9,102.8,4.6,0.87,0.334,2.6,0.588,20.0,2,15.0,80.8,1
12.3,94.6,7.8,0.464,0.379,7.3,0.568,25.0,1,22.0,78.6,1
15.6,68.7,13.6,0.913,0.392,1.4,0.613,16.0,1,26.0,70.1,1
9.2,60.8,9.1,0.909,0.352,8.5,0.815,9.0,0,9.0,79.7,1
16.9,62.4,16.2,0.88,0.36,6.6,0.706,16.0,1,10.0,100.0,1
12.0,72.3,10.0,0.345,0.11,14.0,0.951,12.0,2,13.0,62.7,1
13.5,39.5,20.5,0.608,0.315,2.8,0.761,14.0,3,10.0,59.7,0
12.0,54.9,13.1,0.875,0.289,9.7,0.258,3.0,2,9.0,53.6,0
24.3,26.6,25.0,0.86,0.441,5.1,0.271,21.0,5,7.0,81.3,1
14.9,68.0,13.2,0.806,0.231,4.5,0.607,15.0,1,15.0,89.9,1
9.7,72.9,8.0,0.656,0.431,2.7,0.445,2.0,1,22.0,66.5,1
19.1,50.3,22.8,0.697,0.36,4.0,0.593,10.0,1,4.0,80.4,1
8.9,91.5,5.8,0.711,0.298,4.1,0.703,1.0,3,9.0,75.1,1
16.0,35.5,25.0,0.517,0.11,1.9,0.655,14.0,2,4.0,80.6,1
5.2,30.7,10.2,0.744,0.152,6.6,0.805,19.0,0,14.0,80.4,1
8.4,64.5,7.8,0.716,0.39,6.1,0.638,8.0,2,6.0,65.8,1
16.0,80.9,11.8,0.711,0.331,7.6,0.631,7.0,2,20.0,83.7,1
18.7,93.7,12.0,0.933,0.201,3.7,0.681,10.0,1,9.0,82.3,1
15.9,50.8,18.7,0.704,0.049,8.7,0.758,7.0,0,14.0,82.1,1
14.4,81.6,10.6,0.711,0.123,11.3,0.51,6.0,1,6.0,80.4,1
13.5,59.2,13.7,0.763,0.335,4.7,0.642,2.0,3,11.0,74.2,1
7.6,56.5,8.1,0.617,0.14,2.8,0.477,7.0,1,11.0,75.6,1
11.4,77.7,8.8,0.859,0.579,5.6,0.803,3.0,5,13.0,73.0,1
12.7,73.0,10.4,0.82,0.742,5.4,0.797,29.0,2,7.0,70.9,1
20.3,28.5,25.0,0.902,0.23,4.8,0.814,33.0,3,19.0,84.6,1
16.7,89.5,11.2,0.78,0.415,7.6,0.553,19.0,2,13.0,89.5,1
6.2,87.6,4.2,0.968,0.333,4.3,0.441,28.0,0,21.0,65.8,1
16.6,47.5,21.0,0.954,0.427,2.7,0.5,6.0,1,4.0,67.1,1
13.1,67.9,11.6,0.778,0.661,5.9,0.756,19.0,1,11.0,85.4,1
11.6,69.9,10.0,0.947,0.293,7.8,0.661,19.0,3,9.0,86.1,1
18.1,65.2,16.6,0.749,0.013,8.2,0.494,16.0,4,26.0,94.7,1
20.2,49.0,24.7,0.597,0.337,4.1,0.372,9.0,2,15.0,71.9,1
19.7,46.6,25.0,0.473,0.517,6.4,0.76,13.0,3,10.0,64.9,1
10.8,59.5,10.9,0.857,0.057,11.5,0.743,16.0,0,14.0,78.5,1
13.5,83.5,9.7,0.817,0.607,11.4,0.704,16.0,0,8.0,75.9,1
16.7,70.9,14.1,0.9,0.644,9.8,0.969,6.0,1,13.0,85.5,1
19.9,52.6,22.7,0.844,0.44,1.8,0.576,31.0,2,30.0,91.4,1
12.6,75.4,10.0,0.463,0.079,4.3,0.594,14.0,2,7.0,75.7,1
14.1,15.0,25.0,0.595,0.264,11.0,0.845,22.0,2,11.0,84.8,1
9.5,83.0,6.8,0.817,0.145,1.8,0.665,8.0,2,6.0,85.6,1
9.0,25.2,21.5,0.972,0.345,5.2,0.557,18.0,0,6.0,69.8,1
19.1,52.8,21.7,0.973,0.121,3.6,0.572,15.0,2,17.0,93.4,1
21.8,37.6,25.0,0.803,0.518,6.5,0.417,6.0,1,5.0,64.6,1
14.6,34.1,25.0,0.708,0.229,1.0,0.671,13.0,0,13.0,60.0,1
20.0,83.2,14.4,0.524,0.212,10.4,0.688,10.0,1,17.0,91.3,1
16.8,50.6,19.9,0.73,0.196,5.3,0.756,11.0,1,8.0,73.5,1
11.8,66.9,10.6,0.62,0.182,2.6,0.703,25.0,0,21.0,76.7,1
16.8,59.1,17.1,0.945,0.252,3.3,0.912,12.0,2,20.0,96.5,1
22.7,69.5,19.6,0.6,0.041,6.6,0.515,24.0,2,8.0,100.0,1
14.8,61.5,14.5,0.663,0.358,3.1,0.61,20.0,2,4.0,75.0,1
22.8,34.3,25.0,0.926,0.156,13.3,0.712,14.0,2,14.0,88.1,1
2.0,79.9,2.0,0.457,0.424,5.0,0.736,26.0,0,10.0,61.9,1
19.1,50.1,22.9,0.831,0.447,12.0,0.937,25.0,3,12.0,79.2,1
15.4,28.9,25.0,0.662,0.445,5.9,0.631,14.0,0,14.0,66.0,1
13.5,51.4,15.8,0.812,0.35,8.0,0.804,15.0,2,4.0,80.8,1
15.5,90.0,10.3,0.916,0.316,7.7,0.553,26.0,0,8.0,84.9,1
5.1,77.0,3.9,0.663,0.498,3.9,0.772,21.0,4,25.0,73.1,1
13.9,53.0,15.7,0.615,0.353,8.0,0.735,31.0,0,12.0,74.1,1
16.8,53.0,19.0,0.45,0.349,4.1,0.911,12.0,5,14.0,76.1,1
22.4,53.6,25.0,0.855,0.398,1.6,0.769,5.0,4,11.0,74.7,1
12.4,101.5,7.3,0.572,0.592,4.7,0.659,7.0,0,14.0,56.5,0
11.0,67.6,9.7,0.942,0.654,2.3,0.713,2.0,0,20.0,71.3,1
12.5,68.6,10.9,0.659,0.068,4.1,0.718,7.0,2,2.0,82.3,1
19.6,80.6,14.6,0.809,0.447,5.2,0.567,20.0,3,16.0,94.6,1
16.6,64.8,15.4,0.434,0.116,2.9,0.564,12.0,1,10.0,74.8,1
12.4,54.8,13.5,0.734,0.281,7.4,0.712,6.0,1,18.0,72.1,1
17.6,56.1,18.8,0.853,0.12,4.1,0.718,8.0,2,8.0,91.7,1
15.5,58.6,15.9,0.663,0.199,2.3,0.805,16.0,4,8.0,87.4,1
19.8,59.3,20.1,0.634,0.07,2.9,0.346,9.0,1,5.0,73.5,1
11.5,74.6,9.2,0.677,0.455,5.7,0.6,11.0,1,10.0,83.8,1
13.4,61.0,13.1,0.627,0.38,4.6,0.663,3.0,0,4.0,67.2,1
13.0,74.7,10.5,0.771,0.662,6.3,0.8,29.0,1,10.0,76.5,1
7.7,58.4,7.9,0.736,0.441,5.7,0.75,32.0,0,12.0,69.7,1
16.5,61.6,16.1,0.3,0.069,2.7,0.596,6.0,1,7.0,61.2,1
16.3,20.0,25.0,0.826,0.51,3.6,0.705,10.0,2,3.0,72.9,1
15.0,78.3,11.5,0.739,0.149,8.7,0.724,2.0,3,3.0,79.4,1
13.8,66.9,12.4,0.794,0.315,3.1,0.544,27.0,1,5.0,82.6,1
7.9,80.0,5.9,0.678,0.104,12.1,0.5,4.0,4,3.0,85.6,1
12.9,15.0,25.0,0.858,0.593,1.9,0.772,13.0,3,11.0,64.1,1
13.3,101.8,7.8,0.431,0.149,8.5,0.804,5.0,2,30.0,66.2,1
11.0,57.2,11.5,0.925,0.173,5.0,0.665,13.0,1,5.0,81.8,1
14.2,82.2,10.4,0.804,0.54,2.7,0.876,24.0,3,30.0,88.7,1
17.0,39.2,25.0,0.635,0.206,5.6,0.629,20.0,3,11.0,71.3,1
24.4,72.3,20.3,0.654,0.555,3.1,0.817,21.0,2,13.0,84.9,1
15.9,38.9,24.5,0.773,0.265,3.7,0.4,4.0,1,4.0,70.2,1
16.3,47.5,20.6,0.851,0.208,4.2,0.78,12.0,2,12.0,71.5,1
14.6,98.3,8.9,0.7,0.054,8.1,0.633,45.0,2,8.0,89.1,1
5.4,56.2,5.8,0.917,0.445,3.5,0.618,16.0,4,24.0,84.8,1
14.9,64.3,13.9,0.745,0.618,6.1,0.408,13.0,1,3.0,66.0,1
15.3,77.4,11.9,0.728,0.308,8.3,0.548,11.0,0,8.0,78.1,1
27.3,69.9,23.4,0.444,0.62,5.5,0.509,15.0,7,6.0,59.7,0
14.0,63.0,13.4,0.92,0.159,6.7,0.749,13.0,1,13.0,75.9,1
16.5,67.3,14.7,0.781,0.365,5.2,0.68,40.0,2,2.0,87.0,1
14.8,108.1,8.2,0.735,0.198,7.3,0.823,23.0,1,24.0,99.7,1
